1 = "O Pho Lan"
1 = "Toc Hàm"								#Stockholm				|			2110.05.19
2158 = "Thieu Quan"							#Shaoguan				|incomplete	2113.05.20
2159 = "Lôi Châu"							#Leizhou				|			2107.02.19
2160 = "Nhai Châu"							#Yazhou					|			2107.02.19
2161 = "Liên Châu"							#Lianzhou				|			2113.05.20
2162 = "Ngô Châu"							#Wuzhou					|			2114.05.20
2163 = "Lieu Châu"							#Liuzhou				|incomplete	2114.05.20
2164 = "Nam Ninh"							#Nanming				|			2114.05.20
2165 = "Pho Nhi"							#Pu'er					|incomplete	2124.03.22
2166 = "Ðuc Hoành"							#Dehong					|incomplete	2124.03.22
2167 = "Le Giang"							#Lijiang				|incomplete	2124.03.22
2168 = "Bac Châu" 							#Bozhou					|incomplete	2112.05.20
2170 = "Tùng Châu"							#Songzhou				|			2099.06.20
2171 = "Tuong Duong"						#Xiangyang				|			2110.05.20
2172 = "Kinh Châu"							#Jingzhou				|			2110.05.20
2173 = "Nguyên Lang"						#Yuanling				|incomplete	2114.05.20
2174 = "Hành Duong"							#Hengyang				|			2114.05.20
2176 = "Thuong Khâu"						#Shangqiu				|			2110.05.20
2177 = "Ninh Vu"							#Ningwu					|			2101.06.20
2179 = "Diên An"							#Yan'an					|			2101.06.20
2180 = "Thiên Thuy"							#Tianshui				|			2102.06.20
2181 = "Bình Luong"							#Pingliang				|			2102.06.20
2323 = "Sa mac No Ti Á"						#Sahra an Nübyah		|incomplete	2124.03.22
2371 = "Son La"								#Song La				|incomplete	2125.04.21
2372 = "Hai Phòng"							#Hai Phong				|incomplete	2110.02.19
2373 = "Hue"								#Hue					|incomplete	2125.04.21
2374 = "Nha Trang"							#Kauthara				|			2115.05.19
2375 = "Êdê"								#Rhade					|incomplete	2106.04.23
2376 = "Can Tho"							#Prey Russey			|incomplete	2125.04.21
2377 = "Cà Mau"								#Teuk Khmao				|			2125.04.21
2378 = "Can Ché"							#Kratie					|incomplete	2110.02.19
2379 = "Bát Tam Bôn"						#Battambang				|incomplete	2110.05.19
2380 = "Nam Vang"							#Phnom Penh				|			2110.05.19
2382 = "Sa Van"								#Savannakhet			|incomplete	2125.04.21
2384 = "Muong Nông"							#Nong Khai				|incomplete	2110.05.19
2741 = "Te Châu"							#Jeju					|incomplete	2110.05.19
2748 = "Kien Xuong"							#Jianchang				|incomplete	2112.05.20
3005 = "Huong Cang"							#Hongkong				|incomplete	2110.05.19
3009 = "Thanh Ðao"							#Qingdao				|			2107.02.19
4194 = "Vinh Bình"							#Yongping				|			2102.06.20
4195 = "Chính Ðinh"							#Zhengding				|			2101.06.20
4196 = "Hai Châu"							#Haizhou				|			2114.05.20
4197 = "Hoàng Châu"							#Huangzhou				|			2110.05.20
4198 = "Phuong Tuong"						#Fengxiang				|			2101.06.20
4199 = "Dong Nhan"							#Tongren				|incomplete	2114.05.20
4204 = "An Ðinh"							#Anding					|incomplete	2108.02.19
4211 = "Ðat Châu"							#Dazhou					|			2099.06.20
4212 = "Gia Châu"							#Jiazhou				|			2110.05.20
4213 = "Lô Châu"							#Luzhou					|			2110.05.20
4227 = "Ðai Khâu"							#Daegu					|incomplete	2110.05.19
4229 = "Trung Châu"							#Chungju				|			2110.05.19
4383 = "Hac Phu"							#Haag					|incomplete	2110.05.19
4515 = "Cát long"							#Gyirong				|			2102.10.19
4559 = "Mi Nô Ca"							#Minorca				|			2110.05.19
4658 = "Kho Di Nam"							#South Sakhalin			|reconstructed/possible name/incomplete
4822 = "Quang Ngãi"							#Amaravati				|incomplete	2124.03.22
4823 = "Gia Rai"							#Jiarai					|			2125.04.21
4824 = "Co Ho"								#Koho					|incomplete	2124.03.22
4840 = "Sê Kông"							#Xekong					|			2125.04.21
